Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Australia,AUS,..,..,..,..,..,..,..,..,..,..,0.3111,0.3111,0.3111,0.3111,0.3111,0.2682,0.2467,0.2306,0.2656,0.3326,0.3195,0.286,0.2881,0.362,0.3934,0.4002,0.3944,0.443,0.4604,0.5338,0.5468,0.5814,0.5931,0.6508,0.7026,0.8185,0.9904,1.0933,1.2184,1.4195,1.253,1.3771,1.6824,1.5745,1.7662,1.6164,1.5009,1.4408,1.4447,1.4902,1.6956,1.8323,1.8509,2.1289,2.1829,2.2918,2.5052,2.6412,2.1554,2.2902,2.6643,3.2157,3.3159,3.4267
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Austria,AUT,..,..,..,..,..,..,..,..,..,..,0.0064,0.0064,0.0064,0.0064,0.0052,0.005,0.0052,0.0046,0.0041,0.0039,0.0053,0.0049,0.0067,0.0093,0.009,0.0075,0.0086,0.0088,0.01,0.0087,0.0127,0.011,0.011,0.0131,0.0157,0.012,0.012,0.012,0.012,0.0136,0.012,0.012,0.012,0.0162,0.0225,0.0144,0.0353,0.054,0.033,0.0409,0.0314,0.0278,0.0419,0.0603,0.0629,0.0811,0.0715,0.0664,0.0541,0.0529,0.0502,0.0449,0.042,0.0399
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,0.0415,0.0415,0.0415,0.0415,0.045,0.045,0.0476,0.0534,0.0547,0.0562,0.0577,0.0579,0.0578,0.0615,0.0616,0.063,0.0654,0.067,0.0622,0.0507,0.0476,0.0445,0.0413,0.0382,0.0351,0.032,0.0289,0.0257,0.0313,0.0426,0.0066,0.031,0.052,0.1084,0.0581,0.049,0.0669,0.0559,0.0974,0.0612,0.0514,0.0739,0.0623,0.0588,0.1051,0.1031,0.0959,0.1323,0.1626,0.2413,0.2612,0.1326,0.1363,0.1408
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,0.2085,0.2085,0.2085,0.2085,0.1344,0.2367,0.2667,0.3583,0.3658,0.4205,0.4273,0.4083,0.4982,0.5617,0.6138,0.5879,0.6741,0.7515,0.8396,0.9927,0.9601,1.1148,1.1263,1.1654,1.2677,1.4918,1.5743,1.3857,1.3999,1.6308,1.5842,1.6987,1.6703,1.7308,1.8729,1.8464,1.8575,2.0326,1.8533,1.8255,1.9763,1.8083,1.791,1.8303,2.1339,2.0547,1.967,2.0311,2.1479,2.1905,2.3225,2.5674,2.6875,2.8182
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9086,0.9591,0.9209,0.7904,0.6982,0.6998,0.6694,0.5535,0.3866,0.5474,0.6165,0.5371,0.5486,0.4772,0.4689,0.4522
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,0.0417,0.0417,0.0417,0.0417,0.0379,0.0425,0.0387,0.0331,0.0302,0.0313,0.0325,0.0308,0.0294,0.0275,0.0269,0.0269,0.025,0.0251,0.0225,0.0178,0.0183,0.0262,0.0199,0.0199,0.0199,0.0325,0.0325,0.0325,0.0304,0.0278,0.0435,0.0477,0.054,0.0587,0.054,0.054,0.054,0.0665,0.0477,0.0602,0.045,0.045,0.045,0.0466,0.0466,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.0365,0.0361,0.0296
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.0157,0.0217,0.0104,0.0132,0.0294,0.0209,0.0269,0.0171,0.0217,0.0082,0.0104,0.0132,0.0214,0.0189,0.0195,0.011,0.0154,0.0242,0.0294,0.0234,0.0173,0.0201,0.0053,0.0038,0.003
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,1.141,1.141,1.141,1.141,1.1402,1.2374,1.4647,1.973,1.975,2.1892,2.4656,1.9265,1.841,1.4075,2.0375,1.9388,2.4062,2.3733,2.0433,1.9025,2.0412,2.1935,2.179,2.6667,3.0113,2.9519,3.32,3.7516,3.8916,4.0769,5.3531,4.6632,4.8024,6.1552,5.5717,5.0883,5.5211,7.1531,6.3065,6.28,6.4277,8.3606,7.9279,8.4148,8.5961,7.98,9.3097,9.3658,9.2282,9.7931,11.523,12.832,12.9799,13.2291
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,0.9179,0.9179,0.9179,0.9179,0.9394,0.97,0.9205,0.8157,0.8267,0.8838,0.9389,1.1138,1.0301,1.0304,0.8712,0.8343,0.7625,0.7411,0.8552,0.7485,0.7024,0.5744,0.5098,0.4961,0.6173,0.3489,0.4353,0.3643,0.3127,0.2316,0.4075,0.4149,0.3658,0.3724,0.3819,0.385,0.3803,0.3881,0.3174,0.4463,0.5217,0.5374,0.6933,0.6024,0.8721,0.6977,0.9097,0.8438,0.7574,0.8432,0.8721,0.8412,0.7964,0.7915
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,0.033,0.033,0.033,0.033,0.033,0.033,0.0163,0.0456,0.0519,0.039,0.0399,0.0552,0.0517,0.0669,0.0581,0.0388,0.0094,0.0247,0.0314,0.027,0.0242,0.0173,0.0075,0.0171,0.022,0.022,0.0267,0.0206,0.0219,0.0454,0.0288,0.0545,0.0325,0.022,0.0542,0.0378,0.0295,0.0402,0.0242,0.0493,0.0501,0.0498,0.0489,0.0556,0.061,0.0798,0.0676,0.0832,0.0701,0.0981,0.0883,0.0733,0.0744,0.0761
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,0.617,0.617,0.617,0.617,0.6542,0.7073,0.7191,0.8497,1.0305,1.2966,1.3008,1.271,1.3931,1.5789,1.7538,1.7521,1.5459,1.5504,1.5563,1.5262,1.427,1.5311,1.5644,1.7275,1.6495,1.8193,1.9831,2.1183,2.0377,2.0973,2.0798,2.1065,2.2432,2.209,2.0848,1.9698,2.4795,2.4319,2.3442,2.4911,2.7663,3.1803,3.3202,3.3174,3.4866,3.5877,3.4063,3.6552,3.7151,4.0348,4.0769,3.694,3.7035,3.7928
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Chile,CHL,..,..,..,..,..,..,..,..,..,..,0.0556,0.0556,0.0556,0.0556,0.0409,0.0277,0.0278,0.0223,0.0373,0.0463,0.054,0.0489,0.0254,0.0523,0.0708,0.0874,0.1453,0.1637,0.1801,0.1964,0.237,0.2125,0.2362,0.2713,0.2724,0.3457,0.3722,0.3625,0.3876,0.3683,0.3159,0.3254,0.3321,0.3919,0.3952,0.3667,0.3656,0.3867,0.3787,0.3661,0.2911,0.2923,0.2971,0.2976,0.3009,0.2974,0.2901,0.2916,0.3326,0.3352,0.3466,0.3692,0.3818,0.3962
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,China,CHN,..,..,..,..,..,..,..,..,..,..,4.6383,4.6383,4.6383,4.6383,4.1737,5.6849,5.7357,6.8326,7.8257,9.8047,10.8146,10.3484,10.8586,11.9497,13.2849,12.4064,11.9214,14.4164,16.3946,16.5917,17.7969,18.2139,19.0504,15.8091,17.8813,23.6123,24.6342,23.2467,23.794,25.4477,24.1277,24.6966,31.1269,29.2422,29.9781,21.1181,23.5031,21.4833,20.4613,24.6089,21.3701,24.6059,25.3131,26.51,22.5878,24.6508,18.2058,15.1617,15.3779,17.1319,16.2812,15.9153,15.4808,15.0616
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Colombia,COL,..,..,..,..,..,..,..,..,..,..,0.162,0.162,0.162,0.162,0.1603,0.1416,0.189,0.1922,0.1672,0.2099,0.2116,0.1886,0.1964,0.199,0.2354,0.2428,0.2811,0.3208,0.3494,0.3703,0.4503,0.4224,0.3687,0.3572,0.3783,0.3703,0.3279,0.3343,0.3901,0.4157,0.4551,0.4267,0.43,0.4011,0.4709,0.483,0.4583,0.4944,0.3591,0.4909,0.4504,0.5483,0.4862,0.5278,0.5519,0.8469,0.7219,0.6793,0.5936,0.5301,0.6579,0.6514,0.6454,0.6396
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,0.0534,0.0534,0.0534,0.0534,0.0534,0.055,0.0416,0.0691,0.0723,0.0597,0.0585,0.0597,0.0723,0.077,0.055,0.0647,0.0726,0.0599,0.0858,0.0951,0.0657,0.0684,0.0739,0.066,0.1006,0.0896,0.1259,0.1414,0.1399,0.11,0.1194,0.0849,0.0629,0.0467,0.0861,0.1,0.1205,0.1079,0.1223,0.1179,0.097,0.2192,0.1506,0.1019,0.1597,0.1667,0.1652,0.1605,0.2197,0.1897,0.1557,0.144,0.1445,0.145
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,0.0047,0.0047,0.0047,0.0047,0.0075,0.0077,0.0079,0.0134,0.011,0.0115,0.0134,0.0126,0.0115,0.0082,0.0074,0.0044,0.0042,0.0035,0.0097,0.0105,0.0159,0.022,0.0236,0.0283,0.0377,0.0393,0.0566,0.0864,0.0754,0.0487,0.055,0.0418,0.0874,0.0327,0.0691,0.0519,0.0849,0.0629,0.0377,0.066,0.0703,0.0552,0.0688,0.0978,0.1159,0.0818,0.0884,0.0661,0.0529,0.1194,0.0828,0.1221,0.1288,0.136
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,0.0389,0.0389,0.0389,0.0389,0.0393,0.041,0.0432,0.0444,0.0464,0.0536,0.0505,0.0519,0.0539,0.0444,0.0864,0.0921,0.067,0.0734,0.054,0.0906,0.0735,0.0478,0.0908,0.0723,0.0817,0.0534,0.0663,0.11,0.0534,0.0581,0.0728,0.058,0.0839,0.0822,0.0791,0.0896,0.0974,0.0976,0.099,0.0614,0.0874,0.0801,0.0943,0.0927,0.0786,0.0959,0.099,0.0905,0.0902,0.0913,0.0984,0.0717,0.0662,0.061
